start	end	text
447740	450340	e tem um aproveitamento 11% ali
450340	452700	11 pontos percentuais acima do Michael
452700	455780	que acaba sendo aproveitamento de mais de 25%
455780	459540	maior do que os dribbles que o Michael executa
459540	461980	então é um cara que conduz próximo ao pé
461980	463620	tem força pra ganhar duelo
463620	465340	é isso que eu quis te mostrar agora
465340	467900	e acaba tentando também muito
467900	470220	o que faz com que gere muito jogo pro time dele
470220	472620	vai acertar todas, não vai, ele vai te irritar
472620	474380	como irritou o torcedor do próprio time
474380	475900	quando perdeu essa bola aí
475900	478700	e acabou gerando uma finalização contra
478700	480740	vai irritar, mas vai também
480740	483380	da alegria, é isso que eu estou querendo te mostrar
483380	484700	ele não é um pifador
484700	487540	mas ele tem boa técnica em geral
487540	490620	o que faz com que ele encontre soluções pra jogadas
490620	492020	uma coisa muito característica
492020	493420	que eu notei dele nesse jogo
493420	497140	os que eu vi é a capacidade de encontrar esse passe de letra
497140	498940	pra quem entrar o tal tra passando
498940	501580	tá, esse parece ser uma marca da casa
501580	503500	ali, uma especialidade da casa
503500	506380	executar esse tipo de passe de letra
506380	509180	tentando encontrar em projeção alguém
509180	510700	que tá ultrapassando
510700	514100	ele também consegue dar esse passe um pouco mais longo
514100	516540	tentando visar uma verticalidade maior
516540	519940	mas não essa não é a especialidade da casa
519940	523300	que ele invade muito ao seu estilo depois de ter feito um dribble
523300	525860	e vai encontrar um passe aqui pro bitelo
525860	527500	dentro da área, um passe difícil
527500	528980	que ele foi capaz de encontrar
528980	531300	mas não, de novo, essa não é
531300	534500	a sua principal marca, inclusive me incomodei um pouco desse passe
534500	536540	ter sido feito com o pé direito de esterna
536540	538900	ele não usa tanto quanto eu gostaria
538900	540620	a perna esquerda pra passe
540620	544220	embora use sempre pra domínio quanto necessário
544220	548180	aqui ele vai pifar e vai conseguir unindo passe vertical longo
548180	550300	então ele tem a técnica tá
550300	553260	mas muitas vezes a decisão do passe não é a melhor dele
553260	555940	aqui, em projeção, durante um contrataque
555940	560100	ele vai estar muito mais também no contexto de passe mais curto
560100	562660	em velocidade que é o contexto dele
562660	565020	eu vou entrar nesse mérito já já
565020	566460	que ele vai receber a bola
566460	568660	e vai dominar já poucos toques
568660	571140	ele vai acionar ali o parceiro dele
571140	574660	e quase vai fazer o go, inclusive vai perder o go ali
574660	576860	na frente da marca do penote bem livre
576860	579580	acaba perdendo go mas mais jogado em que ele criou
579580	581700	ele podia ter acertado a gaveta aí
581700	585420	errou a gaveta mas acho que demonstra bastante esse caráter
585420	589220	de infiltração dele, de passe e em progressão
589260	590980	mais passe mais curto
590980	593780	tá aqui, olha, recebe a bola o time tá em transição
593780	596900	e aí ele vai tentar um passe longo na profundidade
596900	598340	ele ainda não tá pressionado
598340	600180	a linha de passe tá bem marcada
600180	602300	se vê que tem quatro isagueiras adversários
602300	605340	tá muito difícil mas ele acaba não tendo a maturidade
605340	609540	não forçar esse passe de tentar conduzir pra atrair a marcação
609540	611620	ele tem qualidade pra fazer isso
611620	614740	então o jogador que ainda pode evoluir na mão do Felipe
614740	616740	embora seja assim o ótimo jogador
616740	618260	aquele também o que na referência
618300	620020	não tem como ele vai receber essa bola
620020	622620	dentro da área porque ele jogou assim
622620	626220	nessa temporada especialmente quando bateu até o próprio recorde de gols
626220	628420	não é um número absoluto alto até porque
628420	631020	não tem número absoluto alto de jogos na rússia
631020	634460	é desde o início da guerra e do banimento dos clubes russos
634460	637300	aqui ele tá de falso 9 vai receber de costas
637300	638660	não tem como ele vai dominar
638660	640260	e vai encontrar o improviso
640260	643060	o passe curto de calcanhar na ultrapassagem
643060	647300	esse passe curto durante a geração dele de jogo de contato
647300	650820	de condução é a especialidade da casa como você vai ver agora
650820	652820	então ele é um ritmoista
652820	656020	é um motorzinho que sabe driblar conduzinho
656020	659500	espaço curto e gosta de distribuir o jogo a partir
659500	662940	deste contexto então não é um cara que vai jogar
662940	665180	a pouco stock sem conduzir
665180	668460	ele até joga a pouco stock quando tá numa zona congestionada
668460	670860	como agora que ele tava ali de falso 9
670860	672540	desce e dá o apoio
672540	675100	mas o contexto dele quando vira de frente
675100	678180	busca contato como agora não perder a bola
678180	680380	e aí um grande upside dele
680380	682420	e um grande ponto positivo dele
682420	684420	para o Felipe entende como futebol
684420	686060	e claro da forma como eu peço também
686060	688300	acho que jogador de dia não pode perder muita bola
688300	689900	especialmente jogador de ataque
689900	691900	para ele se justificar com o driblador
691900	694060	como um cara ofensivo
694060	695900	ele não pode perder a posta da bola
695900	699540	e ele realmente tem essa capacidade de duelar
699540	702580	preservando a posta de bola que ele baixa
702580	704500	e ele vai conduzir organizando o time
704500	706060	então ele organiza o time
706060	708300	e faz ali o que a galera chama de playmaker
708300	712500	muito a partir de condução e espaço congestionado
712500	715300	e troca de passes dentro dessa zona
715300	717100	dentro desse contexto até por isso
717100	721100	que ele não tem um número alto de assistências na carreira
721100	722580	aqui eu até botei a câmera lenta
722580	724740	porque o cara jogou uma pedrada nele
724740	726500	nota como vai receber uma pedrada
726500	729380	e vai ter a qualidade dominada de perna esquerda
729380	732300	e seguir conduzindo sem perder muito tempo
732300	734900	então ele é um cara que usa a perna esquerda
734900	736700	não muito para passar
736700	738900	ou para finalizar mas sim
738900	741500	sempre que ele precisa dar velocidade
741500	742700	num domínio
742700	745100	aquele vai receber essa bola na referência de novo
745100	747100	como um falso 9 domina
747100	748500	já sai conduzindo
748500	750700	e se associando mais curto
750700	751900	vai se associando
751900	753500	e vai ocupando os espaços
753500	755900	é um jogador sim muito intenso
755900	758300	e muito mais forte do que os jogadores
758300	759500	que o Flamengo tem
759500	761500	e jogam por corredor central
761500	763500	então por exemplo comparado com a rascaeta
763500	766700	aí não tem a mesma capacidade de decisão em gosto
766700	767700	que o rascaeta tem
767700	768900	embora faça seus gols
768900	770500	como vai você vai ver aí
770500	773300	mas não tem definitivamente a capacidade de finalização
773300	774500	que o rascaeta tem
774500	778100	mas ele tem uma capacidade diferente
778100	779500	de condução
779500	781300	de resistir mais ao contato
781300	782900	de doelar ainda mais
782900	785900	e isso conta muito a favor dele
785900	787900	em alguns contextos de jogo
787900	790300	inclusive para jogar ao lado do rascaeta
790300	792300	que eu acho perfeitamente possível
792300	794700	assim como jogar na posição do rascaeta
794700	795900	que é onde ele tem jogado
795900	797500	o rasca não é exatamente um falso 9
797500	799500	porque o Flamengo joga num 4.4.2
799500	800500	mas ele é
800500	802100	sim muitas vezes o cara
802100	803100	quase todos os jogos
803100	803900	quase sempre
803900	804900	na verdade via de regra
804900	806900	é o jogador mais avançado
806900	807900	do Flamengo
807900	809700	no posicionamento médio em campo
809700	812500	e isso faz com que ele receba nesse contexto
812500	815300	aqui ele tem a técnica de deixar
815300	816700	ali a opção de passe
816700	819900	e se projetar enquanto o passe acontece
819900	821300	e vai finalizar de primeira
821300	822300	isso eu adoro, tá?
822300	824900	ele é um cara que tenta finalizar de primeira
824900	826500	que tenta finalização
826500	828300	ele não é um grande finalizador
828300	829900	o que é outra história
829900	831300	ali não é um grande finalizador
831300	832500	não é um cara que decide
832500	834300	a partir das suas finalizações
834300	835900	a gente está acostumado a ver
835900	837700	jogadores que tem até uma finalização
837700	839300	que não parece tão ruim assim
839300	841000	mas que raramente faz engol
841000	842800	muito porque esse algo a mais
842800	843800	ele não tem, tá?
843800	846500	e antes de vocês virem com a piadinha do GPS
846500	848200	tal, que é bem chata, até
848300	850300	eu vou falar que sim, ele é muito intenso
850300	851900	sem a bola, é um jogador que do ela
851900	852900	muito sem a bola
852900	854900	que pressiona muitos adversários
854900	855900	e isso sem dúvida
855900	857700	põe uma sereja no bolo
857700	859100	do que pode ser esse cara
859100	860600	então aquele rouba a bola
860600	862100	e vai ter um lance, eu penso
862100	863100	e vai adriblar
863100	865300	e acaba que foi fominha
865300	867000	e não deu o passe, deixou maluco
867000	868500	louco com ele ali
868500	869300	não dando passe
869300	871100	aqui ele está atrás no lance
871100	872600	os aguero progrediu
872600	873700	vai encontrar o passe
873700	875300	e ele vai bater a carteira dele
875300	877100	então é um jogador intenso
877200	879000	que demonstra esse trabalho sem bola
879000	880300	e quando recupera a bola
880300	881300	principalmente, ó
881300	882600	retenha a bola, né?
882600	884300	não vai perder a bola
884300	886300	e ele acaba sofrendo a falta
886300	887300	assim como nem marque
887300	889500	eu comparei, não qualitativamente, ó, viu, né?
889500	891200	mas comparei em estilo
891200	893200	ele também jogador que busca muito contato
893200	894200	acaba sofrendo
894200	895200	muitas faltas
895200	897400	mas não dá para chamar de um cara
897400	898200	fominha não
898200	899400	ele acaba gerando com isso
899400	900400	tempo espaço
900400	901000	pros companheiros
901000	902000	você vai ver o número baixo
902000	903000	em assistências
903000	904400	muito porque ele se coloca
904400	905200	nesse contexto
905200	906200	muitas vezes recebendo
906200	907500	essa bola fora do bloco
907500	909700	e sendo o cara que vai conduzir
909700	910700	para dentro do bloco
910700	912700	e abrir esse bloco muito fechado
912700	913700	os éboto chegou a falar
913700	914700	e alguma entrevista
914700	916700	da característica de abrilatas
916700	918700	que eu flamenco precisa de um abrilatas
918700	920700	e o Felipe Luís concorda com isso
920700	922700	tanto que tinha aprovado Mike A. Johnston
922700	924200	que tem uma característica
924200	925300	também de abrilatas
925300	926900	mas só aquela característica
926900	928700	o carrascal, ele traz muito mais
928700	930500	ele traz um cara que faz
930500	932000	uma organização de jogo
932000	933300	que em alguns momentos
933300	935000	pode lembrar, ali, o Everton Ribeiro
935000	936200	nos passes mais curtos
936200	937800	nos passes fora do bloco
937800	939800	mas que tem explosão
939800	940800	para a driblicurto
940800	942100	que tem aceleração
942100	943000	para a driblicurto
943000	945300	e que se infiltra muito bem
945300	947000	mas que também sustenta
947000	947800	as pressões
947800	949700	se receber a bola de costa
949700	951500	então ele recebe essa bola de costa
951500	952500	como um atacante
952500	953400	como um nove
953400	954200	e não cai
954200	955200	não perde bola
955200	957300	ele perde pouquíssima bola
957300	959000	perto da sua participação
959000	959500	em jogo
959500	960500	então ao contrário
960500	962000	do que muita gente anda falando
962000	962800	eu sim
962800	964900	empolgo com essa contratação
965000	965800	não acho
965800	967100	um valor alto, tá?
967100	968600	há 12 milhões de euros
968600	970600	para começar, você tem que entender onde ele estava
970600	971300	ele estava
971300	973400	no mercado que está praticamente fechado
973400	975300	isolado do resto do mercado do futebol
975300	976400	que é o mercado russo
976400	977600	se ele está ali
977600	978300	daí
978300	979500	é muito difícil sair
979500	981100	não ator, a gente está acompanhando
981100	981800	tantos jogadores
981800	984100	que têm dificuldade de sair do futebol russo
984100	985200	e o próprio valor
985200	987000	que eles têm pago em outros jogadores
987000	987500	então é óbvio
987500	988900	que ele não seria liberado
988900	989800	tão barato
989800	990800	além disso
990800	991900	quanto vale um jogador
991900	992900	que traz tudo isso
992900	994200	é que traz esse driblic
994200	995300	tendo a associação
995300	996500	tendo o cognitivo
996500	997700	não sendo um cara
997700	998500	é burro, né?
998500	1000500	o cara driblador, meio burro, etc.
1000500	1002500	e sendo um cara que acaba entregando
1002500	1004500	a característica que o Flamengo precisa
1004500	1006300	para conseguir prosperar na temporada
1006300	1007300	e conquistar o que precisa
1007300	1009000	quanto é o valor disso aí, tá?
1009000	1009600	então
1009600	1011100	eu não acho um valor muito alto
1011100	1012300	12 milhões de euros
1012300	1013100	acho que
1013100	1014100	está no preço
1014100	1015400	não tem muito como ser
1015400	1016500	muito menos do que isso
1016500	1017700	pode ser 10
1017700	1018700	pode ser 9
1018700	1020100	acho que diante do que
1020100	1021500	ter acontecido na temporada
1021500	1022400	3 milhões de euros
1022400	1023300	não é o que vai
1023300	1024400	matar o Flamengo
1024400	1026600	ele não é o tipo de contratação aposta
1026600	1027800	ele é o tipo de contratação
1027800	1028700	tiro de canhão
1028700	1031200	é que caracterizou muito a gestão anterior
1031200	1033000	e está tudo bem, né?
1033000	1034500	eu acho que um bom mercado
1034500	1035700	se faz de mesclas
1035700	1037200	de um jogador que vai te entregar
1037200	1038200	daqui a 2 anos
1038200	1039700	de um jogador que chega entregando
1039700	1042000	e essa é a responsabilidade do carrascal
1042000	1042700	então
1042700	1046000	vejo como um ótimo movimento do Flamengo no mercado
1046000	1047100	essa é a minha opinião
1047100	1048600	que era ouvia de vocês
1048600	1050400	deixa o like, se inscreve no canal
1050400	1051300	e eu vou te contar
1051400	1054000	trancioso de ver o carrascal jogado
1054000	1056000	e quero ver ele junto com a rasca, tá?
1056000	1057700	então nos próximos vídeos
1057700	1061000	a gente vai tentando esclarecer um pouco mais esse elenco
1061000	1062200	o que que pode acontecer
1062200	1064000	como que pode usar o que tem
1064000	1066000	mas o Flamengo precisava de reforços
1066000	1066600	e que bom
1066600	1067600	que veio o primeiro
1067600	1069600	dessa terceira janela do ano
1069600	1070100	valeu
