start	end	text
685280	689840	eu peço também, acho que jogador de dia não pode perder muita bola, especialmente jogador de ataque,
689840	695920	para ele se justificar como a driblador, como um cara ofensivo, ele não pode perder a posta da bola,
695920	702480	e ele realmente tem essa capacidade de doer lá preservando a posta de bola aqui de baixa,
702480	708240	e ele vai conduzir organizando o time, então ele organiza o time, e faz ali o que a galera chama de Playmaker,
708240	715840	muito a partir de condução e espaço congestionado, e troca de passas dentro dessa zona, dentro desse
715840	721440	contexto até por isso, que ele não tem um número alto de assistências na carreira, que até
721440	726400	botem a câmera lenta, porque o cara jogou uma pedrada, não tem como vai receber uma pedrada,
726400	732160	e vai ter a qualidade dominada, perna esquerda, e seguir conduzindo, sem perder muito tempo,
732160	738800	então ele é um cara que usa perna esquerda, não muito para passar, ou para finalizar, mas sim,
738800	744800	sempre que ele precisa da velocidade num domínio, né, aquele vai receber essa bola na referência de
744800	751840	novo, como um falso nove, domina, já sai conduzindo, e se associando mais curto, vai se associando,
751840	758240	e vai ocupando os espaços, é o jogador sim, muito intenso, e muito mais forte do que o jogador,
758240	763440	que eu falava em gostei, e jogam por corredor central, então, por exemplo, comparado com a rascareta,
763440	768240	e não tem a mesma capacidade de decisão em gosto, com a rascareta tem, bora faça,
768240	773200	seus gostos, como vai você vai ver aí, mas não tem definitivamente a capacidade de finalização,
773200	781120	que o rascareta tem, mas ele tem uma capacidade diferente de condução, de resistir mais ao contato,
781120	787760	de doelar ainda mais, e isso conta muito ao favor dele em alguns contextos de jogo,
787760	793200	inclusive para jogar ao lado do rascareta, que eu acho, perfeitamente possível, assim, como jogar,
793200	797520	na posição do rascareta, que é onde ele tem jogado, a rascar não é exatamente o falso nove,
797520	803760	porque o falo em joga no 4-4-2, mas ele é sim, muitas vezes o cara quase todos os jogos quase sempre,
803760	809760	na verdade, via de regra, é o jogador mais avançado do flamengo, no posicionamento médio encampo,
809760	815280	e isso faz com que ele receba nesse contexto. Aqui, ele tem a técnica de deixar,
815280	821200	ali, a opção de passe, e se projetar enquanto o passe acontece, e vai finalizar de primeira,
821200	826480	isso é o ador, ele é um cara que tenta finalizar de primeira, que tenta finalizar,
826480	831280	ele não é um grande finalizador, o que é outra história, não é um grande finalizador,
831280	835920	não é um cara que decide a partir das suas finalizações, a gente está acostumado a ver,
835920	840640	jogadores que tem até uma finalização que não parece tão ruim assim, mas que raramente fazem
840640	846480	gol muito porque esse algo a mais ele não tem, e antes que vocês viram com a piadinha do GPS,
846480	851760	tal, o que é tibichata, eu vou falar que sim, ele é muito intenso sem a bola, o jogador que doela,
851760	855840	muito sem a bola, que pressiona muitos adversários, e isso sem dúvida,
855840	861600	pois uma sereja no bolo do que pode ser esse cara, aquele roba, a bola, e vai ter um lance,
861600	867040	eu pensei, vai dribrar, e acaba que foi faminha, e não deu o passe, deixou maluco,
867040	872480	louco com ele ali, não dando o passe, que ele está atrás no lance, os agueiros progredil,
872480	877040	vai encontrar o passe, e ele vai bater a carteira dele, então é um jogador intenso,
877040	882400	que demonstra esse trabalho sem bola, e quando recupera a bola, principalmente, retinha a bola,
882400	887200	não vai perder a bola, e ele acaba sofrendo a falta, assim como nem marque,
887200	891040	eu comparei não qual está ativamente óbvio, mas comparei em estilo,
891040	895040	ele também é um jogador que busca muito contato, acaba sofrendo muito as falta,
895040	899440	mas não dá pra chamar de um cara fominha não, ele acaba gerando com isso,
899440	902960	tem por espaço por companheiros, você vai ver o número baixo em assistências,
902960	907440	muito por que ele se coloca nesse contexto, muitas vezes recebendo essa bola fora do bloco,
907440	912720	e sendo o cara que vai conduzir, pra dentro do bloco, e abrir esse bloco muito fechado,
912720	916800	os abbotos chegou a falar e alguma entrevista da característica de abrilatas, que eu
916800	921200	flamenco precisa de um abrilatas, e eu fini pelo isso com corda com isso, tanto que tinha
921200	926800	aprovado Michael Johnston, que tem uma característica de abrilatas, mas só aquela característica,
926800	932080	o carro escala de trás muito mais, ele traz um cara que faz uma organização de jogo,
932080	936160	que em alguns momentos pode lembrar, e o Evernon Ribeiro nos passos mais curtos,
936160	942160	nos passos fora do bloco, mas que tem explosão pra driblicurto, que tem aceleração pra
942160	947920	driblicurto, e que se infiltra muito bem, mas que também sustenta as pressões de
947920	953280	receber a bola de costa, então ele recebe essa bola de costa, como um atacante, como um nove,
953280	959360	e não cai, não perde bola, ele perde pouquíssimo a bola, perto da sua participação em jogo,
959360	964800	então ao contrário do que muita gente anda falando, eu sim me impolgo com essa contratação,
964800	970400	não acho um valor alto, há 12 milhões de euros, pra começar você ter que entender onde ele tava,
970400	975280	ele tava no mercado que tava praticamente fechado, isolado do resto do mercado do futebol
975280	980320	que é mercado ruso, se ele está ali, daí é muito difícil sair, não ator, a gente
980320	985120	está acompanhando tanto jogadores que tem dificuldade de sair do futebol ruso, e o próprio valor
985120	989680	que a gente tem pago em outros jogadores, então é óbvio que ele não seria liberado tão barato,
989680	994400	além disso, quanto vale um jogador que traz tudo isso, é que traz esse drible, tendo a
994400	1000480	associação, tendo o cognitivo, não sendo um cara, é burro, né, o cara driblador meio burro, etc,
1000480	1005120	e sendo um cara que acaba entregando a característica que o Flamenco precisa, pra conseguir
1005120	1008960	prosperar na temporada e conquistar o que precisa, quanto qual o valor de isso aí, tá?
1008960	1014160	Então, eu não acho um valor muito alto, 12 milhões de euros, acho que tá no preço,
1014160	1018640	não tem muito como ser muito menos do que isso, a podia ser 10, podia ser 9,
1018640	1023360	acho que, diante do que ter acontecido na temporada, 3 milhões de euros, não é o que vai
1023360	1027840	matar o Flamenco, ele não é o tipo de contratação à posta, ele é o tipo de contratação,
1027840	1033040	chiro de canhão, é que caracterizou muito a gestão anterior e tá tudo bem, né,
1033040	1038080	eu acho que um bom mercado se faz de mesculas, de um jogador que vai te entregar daqui a dois anos,
1038080	1042640	o jogador que chega entregando e essa é a responsabilidade do carrascal, então,
1042640	1047120	vejo como um ótimo movimento do Flamenco no mercado, essa é a minha opinião,
1047120	1051360	quero ouvir de vocês, deixa o like se inscreve no canal e eu vou te contar,
1051360	1056080	tão sioso de ver o arrascal de carrascal jogar, e quero ver ele junto com a arrasca, tá?
1056080	1060960	Então, nos próximos vídeos, a gente vai tentando esclarecer um pouco mais esse elenco,
1060960	1065920	o que pode acontecer, como que o Felipe pode usar o que tem, mas o Flamenco precisava de reforços,
1065920	1070000	e que bom, que veio o primeiro dessa terceira janela do ano, valeu!
